"","season","team","round","pick","playerid","full_name","name","side","category","position","aval","gms","Games","AverageValue","AVPer16"
"11",2014,"STL",1,13,"DonaAa00","Aaron Donald","A.Donald","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",94,90,15.3191489361702
"12",2017,"NO",3,67,"KamaAl00","Alvin Kamara","A.Kamara","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",45,43,15.2888888888889
"13",2007,"SF",1,11,"WillPa98","Patrick Willis","P.Willis","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",112,107,15.2857142857143
"14",2008,"ATL",1,3,"RyanMa00","Matt Ryan","M.Ryan","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",189,179,15.1534391534392
"15",2012,"SEA",2,47,"WagnBo00","Bobby Wagner","B.Wagner","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",119,112,15.0588235294118
"16",2016,"DAL",4,135,"PresDa01","Dak Prescott","D.Prescott","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",64,60,15
"17",2016,"DAL",1,4,"ElliEz00","Ezekiel Elliott","E.Elliott","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",56,52,14.8571428571429
"18",2001,"SD",1,5,"TomlLa00","LaDainian Tomlinson","L.Tomlinson","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",170,157,14.7764705882353
"19",2016,"NO",2,47,"ThomMi05","Michael Thomas","M.Thomas","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",63,58,14.7301587301587
"20",2012,"IND",1,1,"LuckAn00","Andrew Luck","A.Luck","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",86,79,14.6976744186047
"21",2012,"CAR",1,9,"KuecLu00","Luke Kuechly","L.Kuechly","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",118,107,14.5084745762712
"22",2011,"ATL",1,6,"JoneJu02","Julio Jones","J.Jones","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",126,113,14.3492063492063
"23",2004,"NYG",1,4,"RivePh00","Philip Rivers","P.Rivers","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",228,204,14.3157894736842
"24",2019,"ARI",1,1,"MurrKy00","Kyler Murray","K.Murray","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",16,14,14
"25",2011,"DEN",1,2,"MillVo00","Von Miller","V.Miller","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",135,117,13.8666666666667
"26",2004,"PIT",1,11,"RoetBe00","Ben Roethlisberger","B.Roethlisberger","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",218,186,13.651376146789
"27",2003,"HOU",4,101,"DaviDo01","Domanick Williams","D.Williams","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",40,34,13.6
"28",2014,"BAL",1,17,"MoslC.00","C.J. Mosley","C.Mosley","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",79,67,13.5696202531646
"29",2016,"KC",5,165,"HillTy00","Tyreek Hill","T.Hill","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",59,50,13.5593220338983
"30",2013,"PIT",2,48,"BellLe00","Le'Veon Bell","L.Bell","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",77,65,13.5064935064935
"31",2017,"CAR",1,8,"McCaCh01","Christian McCaffrey","C.McCaffrey","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",48,40,13.3333333333333
"32",2017,"KC",3,86,"HuntKa00","Kareem Hunt","K.Hunt","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",35,29,13.2571428571429
"33",2017,"MIN",2,41,"CookDa01","Dalvin Cook","D.Cook","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",29,24,13.2413793103448
"34",2000,"CHI",1,9,"UrlaBr00","Brian Urlacher","B.Urlacher","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",182,150,13.1868131868132
"35",2015,"TB",1,1,"WinsJa00","Jameis Winston","J.Winston","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",72,59,13.1111111111111
"36",2014,"OAK",1,5,"MackKh00","Khalil Mack","K.Mack","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",94,76,12.936170212766
"37",2016,"PHI",1,2,"WentCa00","Carson Wentz","C.Wentz","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",56,45,12.8571428571429
"38",2002,"JAX",4,108,"GarrDa00","David Garrard","D.Garrard","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",86,69,12.8372093023256
"39",2016,"LAR",1,1,"GoffJa00","Jared Goff","J.Goff","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",54,43,12.7407407407407
"40",2018,"NYG",1,2,"BarkSa00","Saquon Barkley","S.Barkley","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",29,23,12.6896551724138
"41",2009,"DET",1,1,"StafMa00","Matthew Stafford","M.Stafford","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",149,118,12.6711409395973
"42",2001,"ATL",1,1,"VickMi00","Michael Vick","M.Vick","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",143,113,12.6433566433566
"43",2014,"DAL",1,16,"MartZa00","Zack Martin","Z.Martin","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",94,74,12.5957446808511
"44",2002,"BAL",1,24,"ReedEd00","Ed Reed","E.Reed","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",174,136,12.5057471264368
"45",2003,"CIN",1,1,"PalmCa00","Carson Palmer","C.Palmer","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",182,142,12.4835164835165
"46",2010,"PIT",6,195,"BrowAn04","Antonio Brown","A.Brown","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",131,102,12.4580152671756
"47",2006,"NO",4,108,"EvanJa21","Jahri Evans","J.Evans","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",183,142,12.4153005464481
"48",2013,"GB",4,109,"BakhDa00","David Bakhtiari","D.Bakhtiari","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",106,82,12.377358490566
"49",2011,"SEA",5,154,"SherRi00","Richard Sherman","R.Sherman","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",134,103,12.2985074626866
"50",2015,"TEN",1,2,"MariMa01","Marcus Mariota","M.Mariota","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",63,48,12.1904761904762
"51",2008,"BAL",2,55,"RiceRa00","Ray Rice","R.Rice","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",92,70,12.1739130434783
"52",2010,"SF",3,91,"BowmNa99","NaVorro Bowman","N.Bowman","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",99,75,12.1212121212121
"53",2012,"WAS",4,102,"CousKi00","Kirk Cousins","K.Cousins","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",93,69,11.8709677419355
"54",2018,"BUF",1,16,"EdmuTr01","Tremaine Edmunds","T.Edmunds","D","LB","ILB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",31,23,11.8709677419355
"55",2007,"MIN",1,7,"PeteAd01","Adrian Peterson","A.Peterson","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",164,121,11.8048780487805
"56",2011,"CIN",2,35,"DaltAn00","Andy Dalton","A.Dalton","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",133,98,11.7894736842105
"57",2001,"IND",1,30,"WaynRe00","Reggie Wayne","R.Wayne","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",211,155,11.7535545023697
"58",2007,"NYJ",1,14,"ReviDa99","Darrelle Revis","D.Revis","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",145,106,11.6965517241379
"59",2012,"WAS",1,2,"GrifRo01","Robert Griffin","R.Griffin","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",52,38,11.6923076923077
"60",2003,"PIT",1,16,"PolaTr99","Troy Polamalu","T.Polamalu","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",158,115,11.6455696202532
"61",2015,"KC",1,18,"PeteMa00","Marcus Peters","M.Peters","D","DB","CB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",77,56,11.6363636363636
"62",2015,"STL",1,10,"GurlTo01","Todd Gurley","T.Gurley","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",73,53,11.6164383561644
"63",2002,"DEN",2,51,"PortCl00","Clinton Portis","C.Portis","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",113,82,11.6106194690265
"64",2011,"ARI",1,5,"PetePa00","Patrick Peterson","P.Peterson","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",138,100,11.5942028985507
"65",2011,"CIN",1,4,"GreeA.00","A.J. Green","A.Green","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",111,80,11.5315315315315
"66",2012,"MIA",1,8,"TannRy00","Ryan Tannehill","R.Tannehill","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",100,72,11.52
"67",2014,"NYG",1,12,"BeckOd00","Odell Beckham","O.Beckham","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",75,54,11.52
"68",2005,"DAL",1,11,"WareDe99","DeMarcus Ware","D.Ware","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",178,128,11.5056179775281
"69",2018,"MIA",1,11,"FitzMi00","Minkah Fitzpatrick","M.Fitzpatrick","D","DB","FS","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",32,23,11.5
"70",2006,"BAL",1,12,"NgatHa20","Haloti Ngata","H.Ngata","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",180,129,11.4666666666667
"71",2019,"JAX",6,178,"MinsGa00","Gardner Minshew","G.Minshew","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",14,10,11.4285714285714
"72",2010,"NE",2,42,"GronRo00","Rob Gronkowski","R.Gronkowski","O","TE","TE","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",115,82,11.4086956521739
"73",2006,"DEN",1,11,"CutlJa00","Jay Cutler","J.Cutler","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",153,109,11.3986928104575
"74",2003,"CHI",3,68,"BrigLa99","Lance Briggs","L.Briggs","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",173,123,11.3757225433526
"75",2005,"SF",1,1,"SmitAl03","Alex Smith","A.Smith","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",166,118,11.3734939759036
"76",2011,"SF",2,36,"KaepCo00","Colin Kaepernick","C.Kaepernick","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",69,49,11.3623188405797
"77",2011,"DAL",1,9,"SmitTy00","Tyron Smith","T.Smith","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",131,93,11.3587786259542
"78",2011,"DAL",3,71,"MurrDe00","DeMarco Murray","D.Murray","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",99,70,11.3131313131313
"79",2001,"SEA",1,17,"HutcSt00","Steve Hutchinson","S.Hutchinson","O","OL","G","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",169,119,11.2662721893491
"80",2012,"PHI",1,12,"CoxxFl00","Fletcher Cox","F.Cox","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",125,88,11.264
"81",2001,"NE",2,48,"LighMa20","Matt Light","M.Light","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",155,109,11.2516129032258
"82",2018,"CLE",1,1,"MayfBa00","Baker Mayfield","B.Mayfield","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",30,21,11.2
"83",2004,"SD",1,1,"MannEl00","Eli Manning","E.Manning","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",236,165,11.1864406779661
"84",2000,"NYJ",1,18,"PennCh01","Chad Pennington","C.Pennington","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",89,62,11.1460674157303
"85",2001,"CAR",2,44,"JenkKr00","Kris Jenkins","K.Jenkins","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",108,75,11.1111111111111
"86",2006,"IND",1,30,"AddaJo00","Joseph Addai","J.Addai","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",78,54,11.0769230769231
"87",2019,"NYG",1,6,"JoneDa05","Daniel Jones","D.Jones","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",13,9,11.0769230769231
"88",2008,"BAL",1,18,"FlacJo00","Joe Flacco","J.Flacco","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",171,118,11.0409356725146
"89",2001,"NE",1,6,"SeymRi00","Richard Seymour","R.Seymour","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",164,113,11.0243902439024
"90",2007,"DET",1,2,"JohnCa00","Calvin Johnson","C.Johnson","O","WR","WR","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",135,93,11.0222222222222
"91",2002,"CAR",1,2,"PeppJu99","Julius Peppers","J.Peppers","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",266,183,11.0075187969925
"92",2013,"KC",3,63,"KelcTr00","Travis Kelce","T.Kelce","O","TE","TE","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[30]","//*[@id=""receiving_and_rushing""]/tfoot/tr[1]/td[4]",96,66,11
"93",2019,"SF",1,2,"BosaNi00","Nick Bosa","N.Bosa","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",16,11,11
"94",2012,"NE",1,25,"HighDo01","Dont'a Hightower","D.Hightower","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",102,70,10.9803921568627
"95",2017,"CHI",1,2,"TrubMi00","Mitch Trubisky","M.Trubisky","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",41,28,10.9268292682927
"96",2008,"DEN",1,12,"CladRy20","Ryan Clady","R.Clady","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",107,73,10.9158878504673
"97",2017,"PIT",1,30,"WattT.00","T.J. Watt","T.Watt","D","LB","OLB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",47,32,10.8936170212766
"98",2004,"IND",2,44,"SandBo99","Bob Sanders","B.Sanders","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",50,34,10.88
"99",2010,"CIN",4,120,"AtkiGe99","Geno Atkins","G.Atkins","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",153,104,10.8758169934641
"100",2008,"CHI",2,44,"FortMa00","Matt Forte","M.Forte","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",146,99,10.8493150684932
"101",2008,"ARI",2,50,"CampCa99","Calais Campbell","C.Campbell","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",186,125,10.752688172043
"102",2010,"DET",1,2,"SuhxNd99","Ndamukong Suh","N.Suh","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",158,106,10.7341772151899
"103",2009,"NE",2,58,"VollSe20","Sebastian Vollmer","S.Vollmer","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",88,59,10.7272727272727
"104",2004,"KC",4,126,"AlleJa22","Jared Allen","J.Allen","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",187,125,10.6951871657754
"105",2000,"NO",6,168,"BulgMa00","Marc Bulger","M.Bulger","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",96,64,10.6666666666667
"106",2006,"JAX",2,60,"DrewMa00","Maurice Jones-Drew","M.Jones-Drew","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",126,84,10.6666666666667
"107",2009,"DAL",4,101,"McGeSt00","Stephen McGee","S.McGee","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",3,2,10.6666666666667
"108",2011,"NYJ",1,30,"WilkMu00","Muhammad Wilkerson","M.Wilkerson","D","DL","DT","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",108,72,10.6666666666667
"109",2016,"SD",1,3,"BosaJo00","Joey Bosa","J.Bosa","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",51,34,10.6666666666667
"110",2016,"JAX",1,5,"RamsJa00","Jalen Ramsey","J.Ramsey","D","DB","CB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",60,40,10.6666666666667
"111",2016,"JAX",6,201,"AlleBr00","Brandon Allen","B.Allen","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",3,2,10.6666666666667
"112",2017,"SEA",7,249,"CarsCh00","Chris Carson","C.Carson","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",33,22,10.6666666666667
"113",2015,"NO",1,13,"PeatAn00","Andrus Peat","A.Peat","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",65,43,10.5846153846154
"114",2009,"TB",1,17,"FreeJo00","Josh Freeman","J.Freeman","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",62,41,10.5806451612903
"115",2002,"PHI",3,91,"WestBr00","Brian Westbrook","B.Westbrook","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",121,80,10.5785123966942
"116",2003,"KC",1,27,"JohnLa00","Larry Johnson","L.Johnson","O","RB","RB","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[30]","//*[@id=""rushing_and_receiving""]/tfoot/tr/td[4]",85,56,10.5411764705882
"117",2010,"SEA",1,14,"ThomEa99","Earl Thomas","E.Thomas","D","DB","DB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",140,92,10.5142857142857
"118",2012,"CLE",2,37,"SchwMi00","Mitchell Schwartz","M.Schwartz","O","OL","T","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",128,84,10.5
"119",2007,"CAR",1,25,"BeasJo99","Jon Beason","J.Beason","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",93,61,10.494623655914
"120",2003,"NE",5,164,"KoppDa20","Dan Koppen","D.Koppen","O","OL","C","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",136,89,10.4705882352941
